Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
Respiratory Cystic Fibrosis With Pseudomonas Aeruginosa Colonization,Common,0,100,both,mucus production,frequent lung infections,sinusitis,nasal polyps,clubbing of fingers and toes,,,,,,,,,,,,,,,,,,,,
Respiratory Distress Syndrome In The Newborn,Common,0,100,both,Rapid breathing,grunting,nasal flaring,retractions (visible sinking of the chest between and under the ribs),,,,,,,,,,,,,,,,,,,,,
Respiratory Syncytial Virus Infection,Common,0,100,both,Coughing,wheezing,fever,runny nose,difficulty breathing,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restless Leg Syndrome,Common,20,80,both,Uncomfortable sensations in the legs,often described as creeping,crawling,tingling,especially at night or at rest,,,,,,,,,,,,,,,,,,,,
"Ret Fusion,Positive Metastatic Non,Small Cell Lung Cancer",Rare,40,80,both,Coughing,shortness of breath,chest pain,fatigue,weight loss,,,,,,,,,,,,,,,,,,,,
"Ret Fusion,Positive Thyroid Cancer",Rare,40,80,both,Neck lump or nodule,difficulty swallowing,hoarseness,swollen lymph nodes in the neck,,,,,,,,,,,,,,,,,,,,,
"Ret,Fusion Positive Solid Tumor",Rare,40,80,both,Depend on the location and size of the tumor,pain,swelling,neurological symptoms,Organ dysfunction,,,,,,,,,,,,,,,,,,,,
"Ret,Mutant Medullary Thyroid Cancer",Very rare,40,80,both,Neck lump or nodule,difficulty swallowing,hoarseness,diarrhea,flushing,,,,,,,,,,,,,,,,,,,,
Retinal Vascular Occlusion,Uncommon,0,100,both,Sudden vision loss,eye pain,floaters,visual field loss,blurred vision,,,,,,,,,,,,,,,,,,,,
Retinoblastoma,Rare,0,100,both,White pupil (leukocoria),crossed eyes (strabismus),eye pain or redness,vision changes,,,,,,,,,,,,,,,,,,,,,
Retinopathy Of Prematurity,Common,0,100,both,Abnormal blood vessel growth in the retina,retinal detachment,vision loss,eye movement abnormalities,,,,,,,,,,,,,,,,,,,,,
Rett Syndrome,Rare,0,100,both,Loss of purposeful hand skills,loss of spoken language,repetitive hand movements,slowed growth,breathing disturbances,,,,,,,,,,,,,,,,,,,,
Reversal Of Apixaban Anticoagulation,Common,0,100,both,Bleeding,bruising,dizziness,weakness,fatigue,,,,,,,,,,,,,,,,,,,,
"Reversal Of Benzodiazepine,Induced Sedation",Uncommon,0,100,both,Drowsiness,confusion,slurred speech,impaired coordination,slowed breathing,,,,,,,,,,,,,,,,,,,,
"Reversal Of Benzodiazepine,Maintained Anesthesia",Uncommon,0,100,both,Decreased consciousness,slowed breathing,low blood pressure,weak pulse,,,,,,,,,,,,,,,,,,,,,
"Reversal Of Dabigatran,Induced Anticoagulation",Uncommon,0,100,both,Bleeding,bruising,dizziness,weakness,fatigue,,,,,,,,,,,,,,,,,,,,
Reversal Of Neuromuscular Blockade,Uncommon,0,100,both,Muscle weakness,difficulty breathing,inability to move,apnea,,,,,,,,,,,,,,,,,,,,,
Reversal Of Neuromuscular Blockade Induced By Nondepolarizing Drug,Uncommon,0,100,both,Muscle weakness,difficulty breathing,inability to move,apnea,,,,,,,,,,,,,,,,,,,,,
Reversal Of Neuromuscular Blockade Induced By Rocuronium,Uncommon,0,100,both,Muscle weakness,difficulty breathing,inability to move,apnea,,,,,,,,,,,,,,,,,,,,,
Reversal Of Neuromuscular Blockade Induced By Vecuronium,Uncommon,0,100,both,Muscle weakness,difficulty breathing,inability to move,apnea,,,,,,,,,,,,,,,,,,,,,
Reversal Of Rivaroxaban Anticoagulation,Uncommon,0,100,both,Bleeding,bruising,dizziness,weakness,fatigue,,,,,,,,,,,,,,,,,,,,
Rhabdomyosarcoma,Rare,0,100,both,Swelling or lump that may or may not be painful,pain or tenderness,Weight loss,bleeding,,,,,,,,,,,,,,,,,,,,,
Rheumatic Fever,Rare,5,15,both,Fever,joint pain,rash,chest pain,shortness of breath,,,,,,,,,,,,,,,,,,,,
Rheumatoid Arthritis,Common,20,60,female,Joint pain,stiffness,swelling,fatigue,fever,,,,,,,,,,,,,,,,,,,,
Rheumatoid Arthritis In Patient At High Gastric Ulcer Risk,Common,20,60,female,Joint pain,stiffness,swelling,fatigue,gastric ulcers,,,,,,,,,,,,,,,,,,,,
Rhinitis,Common,0,100,both,Runny or stuffy nose,sneezing,nasal itching,congestion,,,,,,,,,,,,,,,,,,,,,
Rhinocerebral Phycomycosis,Very rare,0,100,both,Facial pain,headache,fever,nasal congestion,black lesions in nasal cavity,,,,,,,,,,,,,,,,,,,,
Rhinorrhea,Common,0,100,both,"Excessive nasal discharge or ""runny nose""",,,,,,,,,,,,,,,,,,,,,,,,
Riboflavin Deficiency,Rare,0,100,both,Cracks or sores at the corners of the mouth,swollen tongue,redness and itching of the eyes,scaly skin,,,,,,,,,,,,,,,,,,,,,
Rickets,Rare,0,18,both,Soft or weak bones,delayed growth,bone pain or tenderness,skeletal deformities,,,,,,,,,,,,,,,,,,,,,
Rickettsial Infection,Rare,0,100,both,Fever,headache,rash,muscle aches,nausea,,,,,,,,,,,,,,,,,,,,
Rickettsialpox,Rare,0,100,both,Fever,headache,rash,eschar (scab),Enlarged lymph nodes,,,,,,,,,,,,,,,,,,,,
"Right,Sided Staphylococcus Aureus Endocarditis",Very rare,20,80,both,Fever,fatigue,heart murmur,shortness of breath,chest pain,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Spotted Fever,Rare,0,100,both,Fever,headache,rash (especially on wrists and ankles),nausea,vomiting,,,,,,,,,,,,,,,,,,,,
"Ros1 Positive Non,Small Cell Lung Cancer",Rare,40,80,both,Coughing,chest pain,shortness of breath,coughing up blood,fatigue,,,,,,,,,,,,,,,,,,,,
Rotavirus Vaccination,Common,0,100,both,No symptoms (as it's a preventive measure),,,,,,,,,,,,,,,,,,,,,,,,
Rsv Vaccination At 32 To 36 Weeks Gestation To Prevent Rsv In Infant,Very rare,20,50,female,No symptoms (as it's a preventive measure for the infant),,,,,,,,,,,,,,,,,,,,,,,,
Rubella Vaccination,Common,0,100,both,Fever,rash,swollen lymph nodes,joint pain,conjunctivitis,,,,,,,,,,,,,,,,,,,,
Salicylate Intoxication,Rare,0,100,both,Tinnitus (ringing in the ears),nausea,vomiting,diarrhea,confusion,,,,,,,,,,,,,,,,,,,,
Salmonella Septicemia,Rare,20,80,both,Fever,diarrhea,Abdominal Pain,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Salpingitis,Common,20,80,female,Pelvic pain,abnormal vaginal discharge,fever,painful urination,irregular menstruation,,,,,,,,,,,,,,,,,,,,
Sarcoidosis,Common,20,60,both,Fatigue,fever,swollen lymph nodes,weight loss,shortness of breath,,,,,,,,,,,,,,,,,,,,
Scabies,Common,0,100,both,Itching (especially at night),red circular rashes,visible burrows or tracks on the skin,sores from scratching,,,,,,,,,,,,,,,,,,,,,
Scalp Psoriasis,Uncommon,20,80,both,Red patches on the scalp,"silvery,white scales or plaques",itching,burning sensation,,,,,,,,,,,,,,,,,,,,,
Scarlet Fever,Uncommon,5,15,both,Sore throat,fever,red rash that feels like sandpaper,swollen glands,strawberry tongue,,,,,,,,,,,,,,,,,,,,
Schistosomiasis,Common,0,100,both,Abdominal Pain,diarrhea,blood in urine,fever,Coughing,Blood in stool,,,,,,,,,,,,,,,,,,,
Schizoaffective Disorder,Common,20,80,both,Mood swings,hallucinations,delusions,depression,impaired cognition,,,,,,,,,,,,,,,,,,,,
Schizophrenia,Rare,20,60,both,Hallucinations,delusions,disorganized thinking,reduced social engagement,impaired cognition,,,,,,,,,,,,,,,,,,,,
Scleroderma,Rare,20,80,both,Thickening and tightening of the skin,Raynaud's phenomenon,joint pain,digestive issues,shortness of breath,,,,,,,,,,,,,,,,,,,,
Scleroderma Renal Crisis,Rare,20,80,both,High blood pressure,decreased urine output,rapid weight gain,headache,shortness of breath,,,,,,,,,,,,,,,,,,,,
"Sclerotherapy,Induced Esophageal Ulcer",Very rare,0,100,both,Difficulty swallowing,chest pain,heartburn,vomiting blood,black or tarry stools,,,,,,,,,,,,,,,,,,,,
"Sclerotherapy,Induced Mucositis",Very rare,0,100,both,Sore throat,mouth pain,difficulty swallowing,mouth ulcers,loss of taste,,,,,,,,,,,,,,,,,,,,
Scrub Typhus,Uncommon,0,100,both,Fever,headache,muscle pain,rash,nausea,,,,,,,,,,,,,,,,,,,,
Seasonal Affective Disorder,Common,20,80,both,Depressed mood,loss of interest or pleasure in activities,changes in appetite,fatigue,difficulty concentrating,changes in weight,,,,,,,,,,,,,,,,,,,
Seasonal Allergic Rhinitis,Common,20,80,both,Sneezing,runny or stuffy nose,itchy or watery eyes,coughing,fatigue,,,,,,,,,,,,,,,,,,,,
Seborrheic Dermatitis,Common,20,80,both,Redness,itching,flaking skin,greasy or oily patches on the skin,dandruff,,,,,,,,,,,,,,,,,,,,
Seborrheic Dermatitis Of Scalp,Common,20,80,both,Itching,flaking,redness,irritation on the scalp,,,,,,,,,,,,,,,,,,,,,
Secondary Amenorrhea,Common,20,50,female,Absence of menstrual periods for three or more consecutive menstrual cycles in women who have previously had regular menstrual cycles,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Glaucoma,Common,20,80,both,Eye pain,blurred vision,halos around lights,redness in the eye,headache,,,,,,,,,,,,,,,,,,,,
Secondary Osteoporosis,Uncommon,20,80,both,Bone pain,fractures,loss of height over time,stooped posture,decreased grip strength,,,,,,,,,,,,,,,,,,,,
Secondary Prevention Of Atherosclerotic Cardiovascular Disease,Common,20,100,both,Lifestyle modifications (diet,exercise),"cholesterol,lowering medications",blood pressure management,smoking cessation,,,,,,,,,,,,,,,,,,,,
Secondary Progressive Multiple Sclerosis,Rare,20,60,both,Gradual worsening of neurological function,fatigue,weakness,difficulty walking,numbness or tingling,,,,,,,,,,,,,,,,,,,,
Secondary Syphilis,Common,20,60,both,rash (especially on wrists and ankles),fever,swollen lymph nodes,fatigue,headache,,,,,,,,,,,,,,,,,,,,
Secretin Stimulation Testing,Very rare,0,100,both,Increased gastric secretions,Abdominal Pain,diarrhea,flushing,difficulty breathing,,,,,,,,,,,,,,,,,,,,
Sedation,Common,0,100,both,Relaxation,drowsiness,decreased anxiety,impaired cognition,slowed breathing,,,,,,,,,,,,,,,,,,,,
Sedation As Adjunct To Anesthesia,Common,0,100,both,Enhanced anesthesia effects,reduced anxiety,relaxation,impaired cognition,,,,,,,,,,,,,,,,,,,,,
Sedation In Intubated Patient,Common,0,100,both,Reduced anxiety,relaxation,pain relief,improved tolerance to mechanical ventilation,,,,,,,,,,,,,,,,,,,,,
Sedation In Obstetrics,Common,20,50,female,Reduced anxiety,pain relief,relaxation,facilitation of labor and delivery,,,,,,,,,,,,,,,,,,,,,
Sedation In Pediatric Patients,Common,0,18,both,Reduced anxiety,relaxation,facilitation of medical procedures,drowsiness,,,,,,,,,,,,,,,,,,,,,
Seizure Disorder,Common,0,100,both,Seizures,convulsions,loss of consciousness,confusion,aura,,,,,,,,,,,,,,,,,,,,
"Seizure Due To Gyromitrin,Containing Mushroom Poisoning",Very rare,20,80,both,Nausea,vomiting,Abdominal Pain,diarrhea,seizures,hallucinations,,,,,,,,,,,,,,,,,,,
Seizure Due To Isoniazid Toxicity,Very rare,20,80,both,Nausea,vomiting,Abdominal Pain,seizures,confusion,coma,,,,,,,,,,,,,,,,,,,
Seizure Occurring During Neurosurgery,Common,20,80,both,Altered mental status,convulsions,loss of consciousness,muscle rigidity,,,,,,,,,,,,,,,,,,,,,
"Seizures Associated With Cyclin,Dependent Kinase,Like 5 Deficiency Disorder",Rare,0,18,both,Developmental delay,intellectual disability,seizures,"autism,like behaviors",movement disorders,,,,,,,,,,,,,,,,,,,,
Seizures Associated With Tuberous Sclerosis Complex,Rare,20,80,both,Seizures,developmental delays,intellectual disability,behavioral problems,skin abnormalities (such as facial angiofibromas),,,,,,,,,,,,,,,,,,,,
Selective Decontamination Of The Digestive Tract,Uncommon,0,100,both,Reduction of colonization and infection of the digestive tract by pathogenic bacteria without altering the normal gut microbiota,,,,,,,,,,,,,,,,,,,,,,,,
Selenium Deficiency,Rare,0,100,both,Fatigue,muscle weakness,hair loss,brittle nails,thyroid problems,,,,,,,,,,,,,,,,,,,,
Seminoma Of Testis,Common,20,50,male,Painless testicular mass,feeling of heaviness in the scrotum,back pain,Abdominal Pain,,,,,,,,,,,,,,,,,,,,,
Sepsis Caused By Anaerobic Bacteria,Rare,0,100,both,Fever,rapid heart rate,rapid breathing,confusion,low blood pressure,,,,,,,,,,,,,,,,,,,,
Sepsis Caused By Enterobacter,Rare,0,100,both,Fever,Abdominal Pain,nausea,vomiting,diarrhea,confusion,,,,,,,,,,,,,,,,,,,
Sepsis Caused By Serratia,Rare,0,100,both,Fever,chills,rapid breathing,confusion,low blood pressure,,,,,,,,,,,,,,,,,,,,
Sepsis Of Newborn,Rare,0,1,both,Fever,difficulty feeding,lethargy,irritability,rapid breathing,poor muscle tone,,,,,,,,,,,,,,,,,,,
Septic Abortion Due To Porphyromonas,Very rare,20,80,female,Fever,Abdominal Pain,vaginal bleeding,"foul,smelling discharge",uterine tenderness,,,,,,,,,,,,,,,,,,,,
Septic Arthritis,Uncommon,20,80,both,Joint pain,swelling,redness,warmth,decreased range of motion,,,,,,,,,,,,,,,,,,,,
Septic Shock,Common,0,100,both,Low blood pressure,rapid heart rate,rapid breathing,confusion,decreased urine output,,,,,,,,,,,,,,,,,,,,
Serotonin Syndrome,Rare,20,80,both,Agitation,confusion,rapid heart rate,dilated pupils,tremor,muscle rigidity,,,,,,,,,,,,,,,,,,,
Serratia Bronchitis,Very rare,0,100,both,Coughing,shortness of breath,chest pain,fever,sputum production,,,,,,,,,,,,,,,,,,,,
Serratia Complicated Uti,Very rare,20,80,both,unusual urinary urgency and frequency,,dysuria,Lower abdominal pain or discomfort,"cloudy or foul,smelling urine",,,,,,,,,,,,,,,,,,,,
Serratia Joint Infection,Very rare,0,100,both,Joint pain,swelling,redness,warmth,decreased range of motion,,,,,,,,,,,,,,,,,,,,
Serratia Meningitis,Very rare,0,100,both,Headache,fever,stiff neck,nausea,vomiting,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,,
Serratia Osteomyelitis,Very rare,20,80,both,Bone pain,swelling,tenderness,fever,limited mobility,,,,,,,,,,,,,,,,,,,,
Serratia Peritonitis,Very rare,20,80,both,Abdominal Pain,fever,nausea,vomiting,cloudy peritoneal fluid,,,,,,,,,,,,,,,,,,,,
Serratia Pneumonia,Very rare,0,100,both,Coughing,fever,chills,chest pain,shortness of breath,sputum production,,,,,,,,,,,,,,,,,,,
Serratia Urinary Tract Infection,Very rare,20,80,both,smelling urine,,,,,,,,,,,,,,,,,,,,,,,,
Serum Sickness,Rare,0,100,both,Fever,rash,joint pain,swelling,nausea,vomiting,,,,,,,,,,,,,,,,,,,
Severe Adrenal Insufficiency,Rare,20,80,both,Fatigue,weakness,weight loss,low blood pressure,Abdominal Pain,,,,,,,,,,,,,,,,,,,,
Severe Burns,Uncommon,0,100,both,Redness,swelling,blistering,pain,difficulty breathing if inhalation injury is present,,,,,,,,,,,,,,,,,,,,
Severe Chronic Neutropenia,Rare,20,80,both,Frequent infections,fever,fatigue,mouth sores,Abscesses,,,,,,,,,,,,,,,,,,,,
Severe Chronic Obstructive Pulmonary Disease,Common,20,80,both,Shortness of breath,wheezing,Coughing,mucus production,chest tightness,fatigue,,,,,,,,,,,,,,,,,,,
Severe Chronic Pain,Common,20,80,both,Persistent pain that lasts for an extended period,impacting daily activities and quality of life,,,,,,,,,,,,,,,,,,,,,,,
"Severe Chronic Pain In Opioid,Tolerant Pediatric Patient (11 Years Of Age And Older)",Common,11,18,both,Persistent pain in pediatric patients aged 11 years and older who have developed tolerance to opioids,,,,,,,,,,,,,,,,,,,,,,,,
"Severe Chronic Pain Requiring Long,Term Opioid Treatment",Common,20,80,both,Chronic pain requiring prolonged use of opioid medications for management,,,,,,,,,,,,,,,,,,,,,,,,
Severe Chronic Pain With Opioid Tolerance,Common,20,80,both,Chronic pain that persists despite the development of tolerance to opioid medications,,,,,,,,,,,,,,,,,,,,,,,,
Severe Combined Immunodeficiency Disease,Rare,0,18,both,Frequent and severe infections,failure to thrive,recurrent illnesses,chronic diarrhea,,,,,,,,,,,,,,,,,,,,,
Severe Diarrhea,Uncommon,0,100,both,Frequent loose or watery stools,abdominal cramping,Frequent bowel movements,fever,,,,,,,,,,,,,,,,,,,,,
Severe Hypotension,Uncommon,0,100,both,Dizziness,lightheadedness,fainting,blurred vision,fatigue,,,,,,,,,,,,,,,,,,,,
Severe Insomnia,Common,20,80,both,Difficulty falling asleep,Difficulty sleeping,waking up too early,sleepiness,irritability,,,,,,,,,,,,,,,,,,,,
Severe Malaria,Very rare,0,100,both,Fever,chills,sweating,headache,muscle aches,nausea,vomiting,,,,,,,,,,,,,,,,,,
Severe Myoclonic Epilepsy In Infancy,Rare,0,2,both,Infantile spasms,seizures,developmental delays,cognitive impairment,movement abnormalities,,,,,,,,,,,,,,,,,,,,
Severe Ocular Inflammation,Very rare,0,100,both,Eye pain,redness,blurred vision,Sensitivity to light (photophobia),floaters,,,,,,,,,,,,,,,,,,,,
Severe Pain,Common,20,80,both,Intense and debilitating discomfort or suffering,affecting physical,emotional,"and mental well,being",,,,,,,,,,,,,,,,,,,,,
Severe Pain With Opioid Tolerance,Common,20,80,both,Chronic,intense pain requiring opioid medication for management despite tolerance,,,,,,,,,,,,,,,,,,,,,,,
Severe Persistent Asthma,Common,0,100,both,Persistent wheezing,shortness of breath,chest tightness,coughing,trouble sleeping due to coughing or wheezing,,,,,,,,,,,,,,,,,,,,
"Severe Pre,Eclampsia",Uncommon,20,60,female,High blood pressure,protein in urine,headache,blurred vision,Abdominal Pain,,,,,,,,,,,,,,,,,,,,
Severe Pruritus,Rare,0,100,both,Intense itching,rash,redness,dry skin,scratching leading to skin damage,,,,,,,,,,,,,,,,,,,,
Severe Psychosis,Common,20,80,both,Hallucinations,delusions,disorganized thinking,paranoia,impaired cognition or functioning,,,,,,,,,,,,,,,,,,,,
Severe Recalcitrant Nodular Acne,Common,20,80,both,Large,Nodules,inflammation,scarring,"reduced self,esteem or confidence",,,,,,,,,,,,,,,,,,,,
Severe Recalcitrant Nodular Rosacea,Very rare,20,80,both,Persistent redness,flushing,visible blood vessels,bumps,pimples,cysts on the face,burning or stinging sensation,eye irritation,,,,,,,,,,,,,,,,,
Severe Recalcitrant Psoriasis,Very rare,20,80,both,Red patches of skin covered with thick,silvery scales,itching,burning or soreness,swollen and stiff joints,,,,,,,,,,,,,,,,,,,,
Severe Thrombocytopenia In Refractory Chronic Immune Thrombocytopenia Purpura,Rare,20,80,both,Excessive bruising,Prolonged bleeding,bleeding gums,Petechiae (small red or purple spots on the skin),fatigue,,,,,,,,,,,,,,,,,,,,
Severe Uncontrolled Hypertension,Uncommon,20,80,both,headache,chest pain,shortness of breath,vision problems,fatigue,,,,,,,,,,,,,,,,,,,,
"Sexually Transmitted Epididymo,Orchitis",Very rare,20,50,male,Pain and swelling in the testicle,fever,chills,discharge from the penis,urinary symptoms,,,,,,,,,,,,,,,,,,,,
Sezary Disease,Rare,40,80,both,Itchy,rash,skin scaling,enlarged lymph nodes,hair loss,,,,,,,,,,,,,,,,,,,,
Sheep Liver Fluke Infection,Very rare,20,80,both,Abdominal Pain,fever,nausea,vomiting,fatigue,Yellowing of the skin and eyes (jaundice),,,,,,,,,,,,,,,,,,,
Shingles Vaccination,Common,0,100,both,Injection site soreness,redness,swelling,headache,fever,fatigue,,,,,,,,,,,,,,,,,,,
Short Bowel Syndrome,Rare,0,100,both,Diarrhea,abdominal cramping,bloating,malabsorption of nutrients,weight loss,,,,,,,,,,,,,,,,,,,,
Short Stature Associated With Noonan Syndrome,Rare,0,18,both,Slow growth,delayed puberty,"characteristic facial features (such as wide,spaced eyes","low,set ears)",,,,,,,,,,,,,,,,,,,,,
Short Stature In Child Born Small For Gestational Age,Uncommon,0,18,both,Growth below the third percentile,delayed motor development,poor weight gain,,,,,,,,,,,,,,,,,,,,,,
Siadh Syndrome,Common,20,80,both,Hyponatremia,weakness,confusion,headache,nausea,seizures,,,,,,,,,,,,,,,,,,,
Sialorrhea,Common,0,100,both,Excessive drooling or saliva production,difficulty swallowing,choking,aspiration,,,,,,,,,,,,,,,,,,,,,
Sickle Cell Disease,Common,0,100,both,Fatigue,paleness,shortness of breath,Yellowing of the skin and eyes (jaundice),pain in the bones or abdomen,,,,,,,,,,,,,,,,,,,,
Sickle Cell Disease With Crisis,Common,0,100,both,Severe pain (often in bones or joints),fever,swelling in hands or feet,fatigue,,,,,,,,,,,,,,,,,,,,,
Sideroblastic Anemia,Rare,20,80,both,Fatigue,weakness,paleness,shortness of breath,dizziness,yellowish skin,,,,,,,,,,,,,,,,,,,
"Simple,Partial Epilepsy",Common,0,100,both,Jerking movements of a body part,altered consciousness,sensory disturbances,,,,,,,,,,,,,,,,,,,,,,
Single Lesion Paucibacillary Leprosy,Rare,0,100,both,Single skin lesion with decreased sensation,numbness,or loss of muscle function,,,,,,,,,,,,,,,,,,,,,,
Sinus Bradycardia,Common,20,80,both,Slow heart rate,dizziness,fainting,fatigue,chest pain,,,,,,,,,,,,,,,,,,,,
Sinus Headache,Common,0,100,both,Pain or pressure around the eyes,cheeks,and forehead,nasal congestion,postnasal drip,,,,,,,,,,,,,,,,,,,,
Sinus Tachycardia Secondary To Antipsychotic Medication,Rare,20,80,both,Rapid heart rate,palpitations,chest pain,dizziness,fainting,,,,,,,,,,,,,,,,,,,,
Sinusitis,Common,0,100,both,Facial pain or pressure,nasal congestion,thick nasal discharge,Coughing,fatigue,,,,,,,,,,,,,,,,,,,,
Sitosterolemia,Very rare,0,100,both,High cholesterol levels,premature coronary artery disease,tendon xanthomas,enlarged spleen,,,,,,,,,,,,,,,,,,,,,
Sjogren's Syndrome,Common,20,80,both,Dry eyes,dry mouth,fatigue,joint pain,swollen salivary glands,,,,,,,,,,,,,,,,,,,,
Skeletal Muscle Relaxation For Endotracheal Intubation,Common,0,100,both,Muscle relaxation for easier insertion of the breathing tube during intubation,decreased muscle tone,reduced resistance to tube insertion,,,,,,,,,,,,,,,,,,,,,,
"Skeletal Muscle Relaxation For Endotracheal Intubation In C,Section",Common,0,100,both,Facilitation of intubation during cesarean section,decreased muscle tone,improved airway access,,,,,,,,,,,,,,,,,,,,,,
Skin And Skin Structure Acinetobacter Infection,Rare,0,100,both,Redness,swelling,warmth,pain,pus drainage from the skin and underlying tissues,,,,,,,,,,,,,,,,,,,,
Skin And Skin Structure Anaerobic Infection,Rare,0,100,both,Redness,swelling,pain,"foul,smelling discharge from the skin and underlying tissues",,,,,,,,,,,,,,,,,,,,,
Skin And Skin Structure Bacteroides Fragilis Infection,Rare,0,100,both,Redness,swelling,tenderness,pus drainage,abscess formation,,,,,,,,,,,,,,,,,,,,
